공간정보,관리지점명칭,상세지점명칭,산명
POINT (144421.32 367499.762),분기점,분기점,팔봉산
POINT (144551.912 367167.711),분기점,분기점,팔봉산
POINT (145069.477 366956.435),시종점,시종점,팔봉산
POINT (143434.668 368988.964),이정표,이정표,팔봉산
POINT (143382.722 368918.315),이정표,이정표,팔봉산
POINT (209171.236 328506.807),시종점,시종점,한산
POINT (209183.978 328233.92),시종점,시종점,한산
POINT (208961.446 328485.761),훼손지,훼손지,한산
POINT (209169.206 328514.605),훼손지,훼손지,한산
POINT (220258.901 297899.021),시종점,시종점,함박봉
POINT (221322.671 301156.393),시종점,시종점,함박봉
POINT (221681.566 300009.124),분기점,분기점,함박봉
POINT (222246.466 298696.548),시종점,시종점,함박봉
POINT (221611.751 299058.839),시설물(운동기구 등),"시설물(운동기구등), 테마마을체험관, 자전거보관소",함박봉
POINT (221762.435 299606.69),기타,삼각점,함박봉
POINT (221662.156 299869.774),정상,깃대봉 정상 전경,함박봉
POINT (221676.306 300005.425),시설물(운동기구 등),시설물(운동기구등),함박봉
POINT (221685.885 300018.401),훼손지,훼손지,함박봉
POINT (221692.256 300750.922),시설물(운동기구 등),시설물(운동기구등),함박봉
POINT (221684.304 300741.565),시설물(운동기구 등),"시설물(운동기구등), 로프시작, 산불감시초소",함박봉
POINT (221475.241 300902.782),정상,함박봉 정상전경,함박봉
POINT (221404.901 301031.429),조망점,조망점,함박봉
POINT (221349.142 301112.142),시설물(운동기구 등),시설물(운동기구등),함박봉
POINT (221322.641 301100.216),벤치,"벤치, 계단목시작",함박봉
POINT (221311.152 301121.107),시설물(운동기구 등),시설물(운동기구등),함박봉
POINT (174762.811 306359.959),분기점,분기점,홍산
POINT (174792.262 306456.719),시종점,시종점,홍산
POINT (175904.901 307294.574),시종점,시종점,홍산
POINT (176624.808 302527.857),분기점,분기점,홍산
POINT (176979.146 301464.163),시종점,시종점,홍산
POINT (177831.122 301711.621),시종점,시종점,홍산
POINT (176640.33 301226.643),음수대,음수대,홍산
POINT (176559.992 301020.559),기타,산불초소,홍산
POINT (176294.528 301383.825),정상,"정상,이정표",홍산
POINT (176611.731 302528.42),이정표,이정표,홍산
POINT (176639.238 302644.342),정상,용주봉정상,홍산
POINT (176546.894 302754.37),분기점,분기,홍산
POINT (176106.782 303571.72),이정표,이정표,홍산
POINT (176978.855 301463.916),벤치,"벤치, 가로등",홍산
POINT (176646.909 301230.324),기타,"대리석계단시작, 조망점",홍산
POINT (169771.718 290591.486),화장실,화장실,희리산
POINT (169823.664 290640.902),안내판또는지도,종합안내도,희리산
POINT (169826.631 290639.213),기타,이용자준수사항,희리산
POINT (169838.379 290647.919),이정표,이정표,희리산
POINT (169881.385 290712.589),화장실,화장실,희리산
POINT (169893.15 290732.502),이정표,이정표,희리산
POINT (169911.974 290742.582),이정표,이정표,희리산
POINT (169938.942 290786.698),이정표,이정표,희리산
POINT (169935.436 290789.696),기타,목계단시작,희리산
POINT (169933.221 290796.22),기타,목계단끝,희리산
POINT (169819.999 290912.058),기타,목계단시작,희리산
POINT (169817.944 290922.241),기타,목계단끝,희리산
POINT (169758.577 290948.125),이정표,이정표,희리산
POINT (169816.117 291035.373),기타,휴식공간,희리산
POINT (169812.013 291036.226),조망점,조망점,희리산
POINT (170380.466 292067.359),조망점,조망점,희리산
POINT (170531.406 292109.535),이정표,이정표,희리산
POINT (170909.103 291314.378),기타,삼각점,희리산
POINT (169813.995 290477.524),이정표,이정표,희리산
POINT (169894.009 290485.305),기타,목계단종점,희리산
POINT (169939.48 290444.323),기타,목계단시작,희리산
POINT (170564.994 290497.43),이정표,이정표,희리산
POINT (169783.614 290593.583),기타,기타,희리산
POINT (169747.278 290515.186),안내판또는지도,종합안내도,희리산
POINT (169784.003 290565.197),주차장,주차장안내도,희리산
POINT (170906.648 291313.13),정상,정상부,희리산
POINT (171618.835 290965.962),시종점,시종점,희리산
POINT (218556.548 366510.276),헬기장,헬기장,흑성산
POINT (218506.305 366469.825),조망점,조망점,흑성산
POINT (218520.367 366399.852),이정표,이정표,흑성산
POINT (218521.073 365885.357),조망점,조망점,흑성산
POINT (220690.714 365922.447),안내판또는지도,"안내판,이정표",흑성산
POINT (219743.54 366197.201),안내판또는지도,"안내판,등의자,정자,화장실,약수터",흑성산
POINT (218189.619 364875.625),시종점,시종점,흑성산
POINT (218562.814 366331.307),정상,"분기,정상,정상표시석,산불감시초소,김사적전적비",흑성산
POINT (218564.331 366252.259),기타,"흑성산성,산성안내판",흑성산
POINT (218569.6 366297.874),정상,"분기,정상,정상표시석,산불감시초소,김사적전적비",흑성산
POINT (218591.547 366555.456),기타,"방송국중계소,분기",흑성산
POINT (218640.25 366398.609),분기점,분기점,흑성산
POINT (220990.135 365894.89),시종점,시종점,흑성산
POINT (218044.223 367207.543),시종점,시종점,흑성산
POINT (162837.707 304745.956),시종점,시종점,화락산
POINT (162843.596 304703.167),분기점,분기점,화락산
POINT (162905.038 303941.841),시종점,시종점,화락산
POINT (163108.022 304814.067),분기점,분기점,화락산
POINT (163111.648 304687.9),분기점,분기점,화락산
POINT (163118.737 304643.901),분기점,분기점,화락산
POINT (163122.789 305004.264),시종점,시종점,화락산
POINT (163183.723 304570.963),시종점,시종점,화락산
POINT (163204.579 304714.9),시종점,시종점,화락산
POINT (163216.365 304652.408),시종점,시종점,화락산
POINT (212749.721 329885.471),시종점,시종점,호태산
POINT (213151.96 330268.927),시종점,시종점,호태산
POINT (213214.075 330032.742),분기점,분기점,호태산
POINT (213233.59 330044.421),분기점,분기점,호태산
POINT (213236.978 329959.688),분기점,분기점,호태산
POINT (213280.508 329990.333),분기점,분기점,호태산
POINT (213337.425 330438.595),시종점,시종점,호태산
POINT (213557.372 329129.536),시종점,시종점,호태산
POINT (217714.381 307131.251),기타,로프 시작,향적산
POINT (217687.632 307097.992),기타,로프 끝,향적산
POINT (217678.718 306964.369),벤치,벤치,향적산
POINT (217830.026 306849.533),기타,로프시작,향적산
POINT (217856.128 306826.077),기타,로프 끝,향적산
POINT (219415.431 310611.343),기타,목계단 시작,향적산
POINT (219378.305 310604.651),기타,목계단 끝,향적산
POINT (219357.435 310609.728),기타,목계단 시작,향적산
POINT (219302.024 310624.186),기타,목계단 끝,향적산
POINT (219156.999 310561.805),기타,목계단 시작,향적산
POINT (219154.374 310525.861),기타,목계단 끝,향적산
POINT (218669.334 309387.703),벤치,벤치,향적산
POINT (218589.957 309873.898),벤치,벤치,향적산
POINT (219193.703 309772.395),분기점,노선내 분기,향적산
POINT (218020.875 308489.357),벤치,벤치,향적산
POINT (218229.781 308416.977),이정표,이정표,향적산
POINT (218467.56 308278.681),이정표,이정표,향적산
POINT (217836.587 307253.84),기타,목계단 시작,향적산
POINT (217844.296 307271.699),기타,목계단 끝,향적산
POINT (217850.211 307346.678),벤치,벤치,향적산
POINT (221357.278 310509.868),기타,목계단 끝,향적산
POINT (221254.049 310585.873),벤치,벤치,향적산
POINT (221254.685 310587.481),음수대,음수대(청송약수터),향적산
POINT (221241.163 310677.099),기타,로프시작,향적산
POINT (221253.708 310732.297),기타,로프 끝,향적산
POINT (221035.972 310844.312),기타,신고처(01),향적산
POINT (220642.478 310878.591),기타,신고처(02),향적산
POINT (220483.675 310944.999),벤치,벤치,향적산
POINT (220225.217 310921.842),기타,신고처(03),향적산
POINT (220196.21 310907.772),벤치,벤치,향적산
POINT (219916.632 310864.133),벤치,벤치,향적산
POINT (219789.927 310502.9),음수대,음수대,향적산
POINT (219408.878 311054.138),기타,신고처(05),향적산
POINT (219334.445 311073.503),벤치,벤치,향적산
POINT (219141.624 311299.64),헬기장,제2헬기장,향적산
POINT (219147.204 311324.33),기타,신고처,향적산
POINT (219697.67 310923.999),기타,로프 시작,향적산
POINT (219759.841 310909.267),벤치,벤치,향적산
POINT (219822.945 310895.773),기타,신고처(04),향적산
POINT (218666.248 310688.674),기타,국조선원,향적산
POINT (218667.606 310764.321),벤치,벤치,향적산
POINT (218464.583 310844.707),기타,가옥,향적산
POINT (218440.999 310851.349),기타,목/돌계단 시작,향적산
POINT (218427.218 310845.901),기타,목/돌계단 끝,향적산
POINT (218310.101 310817.346),기타,목계단 시작,향적산
POINT (218287.684 310805.307),기타,로프 시작,향적산
POINT (218163.114 310739.589),이정표,이정표,향적산
POINT (218155.02 310727.977),기타,목계단 끝,향적산
POINT (218205.841 310611.53),기타,목계단/로프시작,향적산
POINT (218144.377 310570.821),기타,목계단/로프 끝,향적산
POINT (218320.949 310851.686),기타,신고처(09),향적산
POINT (218457.432 311217.175),기타,신고처(08),향적산
POINT (218727.407 311498.014),기타,"목계단/로프 끝,신고처(07)",향적산
POINT (218794.119 311510.307),기타,목계단 시작,향적산
POINT (218814.07 311505.89),기타,목계단 끝,향적산
POINT (218822.727 311462.315),기타,목계단 시작,향적산
POINT (218859.506 311315.406),음수대,음수대,향적산
POINT (218886.764 311082.235),기타,독립가옥,향적산
POINT (218904.761 310883.95),정자,정자,향적산
POINT (218944 310735.922),정자,정자,향적산
POINT (217634.681 308515.496),분기점,"노선내분기,벤치",향적산
POINT (217805.752 307214.968),분기점,노선내분기점,향적산
POINT (218130.445 310571.906),기타,"향적산(국사봉),신고처(10),보호함(로프/들것),이정표",향적산
POINT (218135.793 310566.575),분기점,분기점,향적산
POINT (218149.093 309841.136),분기점,노선내분기,향적산
POINT (218223.005 310081.392),기타,전망대,향적산
POINT (218318.423 310819.217),음수대,음수대,향적산
POINT (218354.955 309802.421),기타,도곡사(절),향적산
POINT (218425.267 307468.169),시종점,시종점,향적산
POINT (218558.84 308271.976),시종점,시종점,향적산
POINT (218587.858 309893.626),분기점,노선내 분기점,향적산
POINT (218761.278 306714.131),시종점,시종점,향적산
POINT (218809.299 311512.231),분기점,노선내분기,향적산
POINT (218819.291 309114.724),시종점,시종점,향적산
POINT (219118.08 310488.027),분기점,분기점,향적산
POINT (219427.916 310600.093),분기점,분기점,향적산
POINT (219474.504 309762.908),분기점,분기점,향적산
POINT (219497.349 310387.242),기타,독립가옥,향적산
POINT (219497.611 310393.374),기타,독립가옥,향적산
POINT (219617.44 310933.104),분기점,노선내 분기,향적산
POINT (219657.888 310572.296),벤치,벤치,향적산
POINT (219660.963 310570.224),벤치,벤치,향적산
POINT (219706.806 310486.277),이정표,이정표,향적산
POINT (219837.383 310551.568),시종점,시종점,향적산
POINT (219894.953 310586.685),시종점,시종점,향적산
POINT (219899.772 310880.91),분기점,노선내 분기,향적산
POINT (220437.367 310998.325),분기점,노선내 분기,향적산
POINT (220558.761 310320.444),시종점,시종점,향적산
POINT (220710.784 310867.739),분기점,노선내 분기,향적산
POINT (220718.937 311250.435),시종점,시종점,향적산
POINT (220757.703 311297.836),시종점,시종점,향적산
POINT (220859.657 310798.718),분기점,노선내 분기,향적산
POINT (220903.377 310135.658),시종점,시종점,향적산
POINT (221076.214 310832.948),분기점,노선내 분기,향적산
POINT (221274.581 310274.915),시종점,시종점,향적산
POINT (221419.915 310520.581),시종점,시종점,향적산
POINT (218059.908 306431.003),시종점,시종점,향적산
POINT (218425.703 303199.599),시종점,시종점,향적산
POINT (200879.873 335252.925),시종점,시종점,해월산
POINT (201453.445 335677.728),시종점,시종점,해월산
POINT (156128.641 313959.334),분기점,분기점,해망산
POINT (156172.602 313958.188),분기점,분기점,해망산
POINT (156564.243 314255.545),시종점,시종점,해망산
POINT (156572.334 313748.675),시종점,시종점,해망산
POINT (156578.729 314081.702),분기점,분기점,해망산
POINT (156584.254 314072.138),분기점,분기점,해망산
POINT (156626.727 314145.949),분기점,분기점,해망산
POINT (156641.301 313874.893),시종점,시종점,해망산
POINT (156749.129 314064.851),분기점,분기점,해망산
POINT (157481.878 314286.777),시종점,시종점,해망산
POINT (201718.522 317359.686),시종점,시종점,평안산
POINT (181650.814 351059.664),기타,폐가 1채,팔봉산
POINT (181646.992 351203.283),기타,임도신설 공고문,팔봉산
POINT (181514.178 350730.227),기타,계곡부 횡단,팔봉산
POINT (181565.351 350706.201),주요나무,잣나무 조림지,팔봉산
POINT (181735.846 350643.712),주요나무,잣나무 조림지,팔봉산
POINT (181746.233 350630.04),기타,과수원 농로 길,팔봉산
POINT (181763.116 350609.951),기타,과수원 농로 길,팔봉산
POINT (181098.388 350867.957),기타,과수원,팔봉산
POINT (181029.507 350868.676),이정표,이정표 신설 요함,팔봉산
POINT (181028.317 350872.44),기타,과수원 좌측 소로길,팔봉산
POINT (181021.142 350890.656),기타,과수원,팔봉산
POINT (180851.155 351091.187),기타,과수원,팔봉산
POINT (181368.354 349343.354),기타,기타,팔봉산
POINT (181244.633 349694.11),기타,로프,팔봉산
POINT (181240.339 349701.621),기타,로프,팔봉산
POINT (181248.308 349722.688),기타,콘크리트 길,팔봉산
POINT (181224.058 349723.296),기타,콘크리트 길,팔봉산
POINT (181214.541 349722.552),가로등,가로등,팔봉산
POINT (181212.142 349721.347),시설물(운동기구 등),평행봉,팔봉산
POINT (181193.774 350134.894),기타,"벌채로 인한 교목성, 관목성 식생 없음.",팔봉산
POINT (181192.757 350135.739),기타,기타,팔봉산
POINT (181195.128 350140.584),기타,"벌채로 인한 교목성, 관목성 식생 없음.",팔봉산
POINT (181190.022 350213.493),기타,기타,팔봉산
POINT (181149.764 350511.865),기타,벌채(개벌)지,팔봉산
POINT (181265.097 350635.944),기타,벌채(개벌)지,팔봉산
POINT (181288.315 350854.365),기타,삼각점(예산 313),팔봉산
POINT (181294.017 350857.593),기타,묘지 1기,팔봉산
POINT (181409.841 350975.859),기타,묘지 3기,팔봉산
POINT (181388.571 351005.335),기타,묘지 1기,팔봉산
POINT (181363.729 351138.423),기타,묘지 1기,팔봉산
POINT (181183.635 351508.27),기타,묘지 3기,팔봉산
POINT (181120.036 351526.088),기타,과수원,팔봉산
POINT (181055.509 349975.921),이정표,이정표 신설 요함.,팔봉산
POINT (181058.954 349763.456),기타,산불감시초소,팔봉산
POINT (181119.433 349829.107),기타,등산로 정비 요함.,팔봉산
POINT (181425.979 350897.632),기타,묘지 25기,팔봉산
POINT (181733.429 350943.077),기타,묘지 1기,팔봉산
POINT (181750.722 351080.945),기타,비닐하우스,팔봉산
POINT (181760.555 351092.676),기타,비닐하우스,팔봉산
POINT (181722.04 351177.464),기타,평양조씨 소윤공파,팔봉산
POINT (181722.924 351143.616),기타,과수원,팔봉산
POINT (181712.89 351188.259),기타,농로길,팔봉산
POINT (181040.869 350385.22),기타,광물 수집 흔적,팔봉산
POINT (181016.312 350392.178),기타,과수원,팔봉산
POINT (180962.193 350394.229),기타,과수원,팔봉산
POINT (180739.077 351085.757),시종점,시종점,팔봉산
POINT (180787.002 350019.202),시종점,시종점,팔봉산
POINT (180915.137 350416.118),시종점,시종점,팔봉산
