노선명,구간기점,구간종점,총연장(km),자전거도로폭(m),겸용도로폭(m)-분리형(자전거),겸용도로폭(m)-분리형(보도),겸용도로폭(m)-비분리형,자전거도로종류,데이터기준일자
동해안로R,삼양삼동2599,삼양일동1027,2.18,1.5,,,,자전거보행자 겸용도로,2026-03-12
동해안로L,삼양삼동2599,삼양일동1027,2.18,1.5,,,,자전거보행자 겸용도로,2026-03-12
동화로1길R,화북일동11-5,화북일동12-2,0.3,1.5,,,,자전거보행자 겸용도로,2026-03-12
동화로1길L,화북일동11-5,화북일동12-2,0.3,1.5,,,,자전거보행자 겸용도로,2026-03-12
화삼북로R,화북일동1002-1,도련이동548,1.4,1.5,,,,자전거보행자 겸용도로,2026-03-12
화삼북로L,화북일동1002-1,도련이동548,1.4,1.5,,,,자전거보행자 겸용도로,2026-03-12
동화로R,화북일동1230,화북이동879-2,0.9,2,,,,자전거보행자 겸용도로,2026-03-12
동화로L,화북일동1230,화북이동879-2,0.9,2,,,,자전거보행자 겸용도로,2026-03-12
문연로L,연동312-1,연동322-2,0.4,5,,,6.5,자전거보행자 겸용도로,2026-03-12
문연로R,연동312-1,연동322-2,0.4,5,,,6.1,자전거보행자 겸용도로,2026-03-12
번영로L,화북이동4827,송당리 2708-4,22.7,2,,,,자전거보행자 겸용도로,2026-03-12
번영로R,화북이동4827,송당리 2708-4,22.7,2,,,,자전거보행자 겸용도로,2026-03-12
봉성로R,봉성리3982,봉성리3808,1.2,1.5,,,1.5,자전거보행자 겸용도로,2026-03-12
봉성로L,봉성리3982,봉성리3808,1.2,1.5,,,1.5,자전거보행자 겸용도로,2026-03-12
사라봉동길L,건입동261,건입동318,0.4,1.5,1.5,3,,자전거보행자 겸용도로,2026-03-12
사라봉동길R,건입동261,건입동318,0.4,1.5,1.5,3,,자전거보행자 겸용도로,2026-03-12
삼무로L,연동251-57,연동261-1,0.3,4,,,5.2,자전거보행자 겸용도로,2026-03-12
삼무로R,연동251-57,연동261-1,0.3,4,,,5.5,자전거보행자 겸용도로,2026-03-12
삼봉로L,봉개동1812-20,삼양이동2181-36,3.7,1.8,,,,자전거보행자 겸용도로,2026-03-12
삼봉로R,봉개동1812-20,삼양이동2181-36,3.7,1.8,,,,자전거보행자 겸용도로,2026-03-12
삼성로R,이도일동1691-7,일도이동161,1.4,2,,,,자전거보행자 겸용도로,2026-03-12
삼성로L,이도일동1691-7,일도이동161,1.4,2,,,,자전거보행자 겸용도로,2026-03-12
서광로L,이도일동1774-3,용담이동1731-1,3,2,,,,자전거보행자 겸용도로,2026-03-12
서광로R,이도일동1774-3,용담이동1731-1,3,2,,,,자전거보행자 겸용도로,2026-03-12
서문로L,용담이동624-33,용담일동114,0.8,2,,,3.5,자전거보행자 겸용도로,2026-03-12
서문로R,용담이동624-33,용담일동114,0.8,2,,,3.5,자전거보행자 겸용도로,2026-03-12
서사로R,삼도일동804-1,오라일동1063-5,1.8,2,,,,자전거보행자 겸용도로,2026-03-12
서사로L,삼도일동804-1,오라일동1063-5,1.8,2,,,,자전거보행자 겸용도로,2026-03-12
화남로R,화북이동3715,화북일동3908-2,0.8,2,,,,자전거보행자 겸용도로,2026-03-12
화남로L,화북이동3715,화북일동3908-2,0.8,2,,,,자전거보행자 겸용도로,2026-03-12
설촌로R,삼양이동2100-1,삼양이동2129-12,0.34,2,,,,자전거보행자 겸용도로,2026-03-12
설촌로L,삼양이동2100-1,삼양이동2129-12,0.34,2,,,,자전거보행자 겸용도로,2026-03-12
서해안로L,용담이동495-1,내도동576-3,9.5,2,,,,자전거보행자 겸용도로,2026-03-12
서해안로R,용담이동495-1,내도동576-3,9.5,2,,,,자전거보행자 겸용도로,2026-03-12
선덕로L,연동304-18,연동324-15,0.4,1.8,,,,자전거보행자 겸용도로,2026-03-12
선덕로R,연동304-18,연동324-15,0.4,1.8,,,,자전거보행자 겸용도로,2026-03-12
세평항로L,평대리148-1,세화리3641,0.5,2.2,,,2.2,자전거보행자 겸용도로,2026-03-12
세평항로R,평대리148-1,세화리3641,0.5,2.2,,,2.2,자전거보행자 겸용도로,2026-03-12
공항서로R,용담이동1945-10,노형동1145-1,2.67,3,,,,자전거보행자 겸용도로,2026-03-12
공항서로L,용담이동1945-10,노형동1145-1,2.67,3,,,,자전거보행자 겸용도로,2026-03-12
수덕로L,노형동2586-1,노형동1055-1,0.9,2.2,,,3.7,자전거보행자 겸용도로,2026-03-12
수덕로R,노형동2586-1,노형동1055-1,0.9,2.2,,,2.6,자전거보행자 겸용도로,2026-03-12
승천로L,이도이동398-14,아라이동3007-4,1,1.5,,,,자전거보행자 겸용도로,2026-03-12
승천로R,이도이동398-14,아라이동3007-4,1,1.5,,,,자전거보행자 겸용도로,2026-03-12
신광로L,연동1369,연동260-1,1.1,2,,,,자전거보행자 겸용도로,2026-03-12
신광로R,연동1369,연동260-1,1.1,2,,,,자전거보행자 겸용도로,2026-03-12
신대로L,연동2493,연동427,1.9,2,,,,자전거보행자 겸용도로,2026-03-12
신대로R,연동2493,연동427,1.9,2,,,,자전거보행자 겸용도로,2026-03-12
신산로L,일도이동837-20,일도일동1069-2,1.1,1.6,,,,자전거보행자 겸용도로,2026-03-12
신산로R,일도이동837-20,일도일동1069-2,1.1,1.6,,,,자전거보행자 겸용도로,2026-03-12
1100로R,노형동3778,노형동158-1,2.4,2.5,,,,자전거보행자 겸용도로,2026-03-12
1100로L,노형동3778,노형동158-1,2.4,2.5,,,,자전거보행자 겸용도로,2026-03-12
아봉로R,아라이동3027,영평동2458-2,1.9,2,,,,자전거보행자 겸용도로,2026-03-12
아봉로L,아라이동3027,영평동2458-2,1.9,2,,,,자전거보행자 겸용도로,2026-03-12
애월로R,곽지리1360,애월리351-1,2.2,1.5,,,2,자전거보행자 겸용도로,2026-03-12
애월로L,곽지리1360,애월리351-1,2.2,1.5,,,2,자전거보행자 겸용도로,2026-03-12
애조로R,수산리1995-5,봉개동1446-7,22.41,3,,,3,자전거보행자 겸용도로,2026-03-12
애조로L,수산리1995-5,봉개동1446-7,22.41,3,,,3,자전거보행자 겸용도로,2026-03-12
노연로R,연동303-37,노형동903-4,1.5,1.5,,,,자전거보행자 겸용도로,2026-03-12
노연로L,연동303-37,노형동903-4,1.5,1.5,,,,자전거보행자 겸용도로,2026-03-12
연북로L,노형동708,도련일동1935-13,10.5,2,,,,자전거보행자 겸용도로,2026-03-12
연북로R,노형동708,도련일동1935-13,10.5,2,,,,자전거보행자 겸용도로,2026-03-12
연삼로L,삼양일동1365-4,연동1911-12,10.67,2.5,,,,자전거보행자 겸용도로,2026-03-12
연삼로R,삼양일동1365-4,연동1911-12,10.67,2.5,,,,자전거보행자 겸용도로,2026-03-12
연신로L,이도이동1956,이도이동1941-1,0.54,3,,,3,자전거보행자 겸용도로,2026-03-12
연신로R,이도이동1956,이도이동1941-1,0.54,3,,,3,자전거보행자 겸용도로,2026-03-12
연화로L,노형동726-4,연동1531,0.6,1.5,,,3,자전거보행자 겸용도로,2026-03-12
연화로R,노형동726-4,연동1531,0.6,1.5,,,3,자전거보행자 겸용도로,2026-03-12
오광로L,노형동2372-4,이호이동1590-2,2.3,1.5,,,3,자전거보행자 겸용도로,2026-03-12
오광로R,노형동2372-4,이호이동1590-2,2.3,1.5,,,3,자전거보행자 겸용도로,2026-03-12
오남로L1,오라이동1438-3,오라이동885-9,1.4,2,,,,자전거 전용도로,2026-03-12
오남로R1,오라이동1438-3,오라이동885-9,1.4,2,,,,자전거 전용도로,2026-03-12
오남로L3,오라이동885-9,오라이동190,1.4,2,,,,자전거 전용차로,2026-03-12
오남로R3,오라이동885-9,오라이동190,1.4,2,,,,자전거 전용차로,2026-03-12
용문로L,용담이동1462-8,용담이동2678-2,1.6,2.2,,,,자전거보행자 겸용도로,2026-03-12
용문로R,용담이동1462-8,용담이동667-1,1.6,2.2,,,,자전거보행자 겸용도로,2026-03-12
용해로R,용담이동667-1,용담삼동1026-8,1.5,2,,,3.5,자전거보행자 겸용도로,2026-03-12
용해로L,용담이동667-1,용담삼동1026-8,1.5,2,,,3.5,자전거보행자 겸용도로,2026-03-12
우정로L,외도일동645-2,외도일동426-1,1,1.5,,,3,자전거보행자 겸용도로,2026-03-12
우정로R,외도일동645-2,외도일동426-1,1,1.5,,,3,자전거보행자 겸용도로,2026-03-12
우평로L,외도일동560-2,외도일동640-2,0.7,1.5,,,3,자전거보행자 겸용도로,2026-03-12
우평로R,외도일동560-2,외도일동640-2,0.7,1.5,,,3,자전거보행자 겸용도로,2026-03-12
우령서로L,외도일동640-2,외도일동400-1,0.9,1.2,,,2.2,자전거보행자 겸용도로,2026-03-12
우령서로R,외도일동640-2,외도일동400-1,0.9,1.2,,,2.2,자전거보행자 겸용도로,2026-03-12
원당로R,삼양이동2140-11,삼양일동1023-3,1.3,2,,,3.5,자전거보행자 겸용도로,2026-03-12
원당로L,삼양이동2140-11,삼양일동1023-3,1.3,2,,,3.5,자전거보행자 겸용도로,2026-03-12
월광로L,노형동3065-1,노형동1141-12,1.7,2.2,,,3.7,자전거보행자 겸용도로,2026-03-12
월광로R,노형동3065-1,노형동1141-12,1.7,2.2,,,3.7,자전거보행자 겸용도로,2026-03-12
월랑로L,노형동2733-3,도두일동2287-5,0.32,1.5,,,,자전거보행자 겸용도로,2026-03-12
월랑로R,노형동2733-3,도두일동2287-5,0.32,1.5,,,,자전거보행자 겸용도로,2026-03-12
월성로L,용담이동746-7,용담이동2754-1,0.43,2,2,2,,자전거보행자 겸용도로,2026-03-12
월성로R,용담이동746-7,용담이동2754-1,0.43,2,2,2,,자전거보행자 겸용도로,2026-03-12
일주동로L,건입동592-1,종달리2199-1,38.5,2.5,,,2.5,자전거보행자 겸용도로,2026-03-12
일주동로R,건입동592-1,종달리2199-1,38.5,2.5,,,2.5,자전거보행자 겸용도로,2026-03-12
일주서로L,도두이동162-2,고산리1688-41,42,2.5,,,2.5,자전거보행자 겸용도로,2026-03-12
일주서로R,도두이동162-2,고산리1688-41,42,2.5,,,2.5,자전거보행자 겸용도로,2026-03-12
정존11길L,노형동2582-4,노형동2582-1,0.3,1.2,,,2,자전거보행자 겸용도로,2026-03-12
정존11길R,노형동2582-4,노형동2582-1,0.3,1.2,,,2,자전거보행자 겸용도로,2026-03-12
제주대학로R,아라일동428-3,아라일동14,1,1.5,,,,자전거 전용도로,2026-03-12
제주대학로L,아라일동428-3,아라일동14,1,1.5,,,,자전거 전용도로,2026-03-12
종달로R,종달리1671-3,종달리2013-1,0.9,1.5,,,,자전거보행자 겸용도로,2026-03-12
종달로L,종달리1671-3,종달리2013-1,0.9,1.5,,,,자전거보행자 겸용도로,2026-03-12
천수동길L,건입동124-2,건입동114-1,0.3,1.5,,,,자전거보행자 겸용도로,2026-03-12
천수동길R,건입동124-2,건입동114-1,0.3,1.5,,,,자전거보행자 겸용도로,2026-03-12
청사로L,도남동668,도남도746-4,0.84,3,3,3,,자전거보행자 겸용도로,2026-03-12
청사로R,도남동668,도남도746-4,0.84,3,3,3,,자전거보행자 겸용도로,2026-03-12
