노선명,자전거 도로의 종류,도로구간기점,도로구간종점,주요경유지,총연장(km)
연동남길 R,겸용도로,조례동1813-1(대),조례동1811(학),왕지초등학교,0.44
연동남길 L,겸용도로,조례동1810-8(대),조례동1805-7(대),왕지초등학교,0.44
백연길 R,겸용도로,조례동1800(대),조례동1834-1(대),왕지초등학교,1.16
백연길 L,겸용도로,조례동73-2(대),조례동74-5(대),연동대주1차아파트,0.22
왕지로 R,겸용도로,왕지동863-3(대),왕지동879-1(대),,0.45
왕지로 L,겸용도로,왕지동850-7(대),왕지동860-4(대),"순천법원, 검찰청",0.45
왕지1길 L,겸용도로,왕지동850-10(대),왕지동849-1(대),"순천법원, 검찰청",0.24
왕지2길 R,겸용도로,왕지동863-1,왕지동868-6(대),순천검찰청,0.17
왕지3길 R,겸용도로,왕지동860-1(대),왕지동854-1(대),왕조지구대,0.37
왕지4길L,겸용도로,왕지동882-14(대),왕지동878-1(대),순천법원,0.21
왕지6길 L,겸용도로,왕지동766-11(대),왕지동766-23(대),,0.34
율산길 R,겸용도로,연향동 1597-1(대),해룡면 남가리812-6(전),,1.43
율산길 L,겸용도로,연향동 1587-1(대),해룡면 남가리 809-2(철),호반리젠시빌2차아파트,1.43
안산길 R,겸용도로,연향동1607-5(대),연향동1614-8(대),호반리젠시빌2차아파트,0.28
도장길 R,겸용도로,연향동1631(대),연향동1627-1(공),순천율산초등학교,0.39
팔마1길 R,겸용도로,연향동1673-4(대),연향동1660-1(대),호반리젠시빌2차아파트,0.52
팔마1길 L,겸용도로,연향동1664-4(대),연향동1658(대),순천풍덕초등학교,0.52
팔마2길 R,겸용도로,연향동1684-7(공),연향동1686-3(대),순천풍덕초등학교,0.26
팔마2길 L,겸용도로,연향동1690-3(대),연향동1688-1(대),,0.26
팔마4길 R,겸용도로,연향동1688-3(대),연향동1660-2(대),,0.43
팔마4길 L,겸용도로,연향동1678-5(대),연향동1665-1(대),,0.43
서           천,겸용도로,서면 동산리104-8(대),가곡동937-61(대),,1.84
동          천 R,겸용도로,서면 선평리850(대),해룡면 대안리1155-1(잡),,12.1
동          천 L,겸용도로,용당동532-1(대),홍내동6(천),,6.2
옥          천 R,겸용도로,저전동56-33(대),장천동8-20(대),,1.27
옥          천 L,겸용도로,옥천동176-1(대),동외동56-55(종),,1.27
석     현    천,겸용도로,석현동276(대),석현동162(대),,1.04
국가인프라,겸용도로,대대동220-4(대),대대동95-4(답),,0.83
산악자전거도로,겸용도로,서면 운평리 산159(임),서면 운평리785(잡),,7.5
서문로 R,겸용도로,저전동197-1(대),저전동111-4(대),,0.29
서문로 L,겸용도로,저전동 90-3(학),저전동111-9(대),,0.14
북부시장1길 R,겸용도로,동외동200-22(대),동외동191-5(대),,0.14
북부시장2길 L,겸용도로,동외동200-9(대),동외동189-10(대),,0.15
오천택지개발지구내,겸용도로,오천택지지구내,오천택지지구내,,6.9
백강로3R,겸용도로,연향동163-10(대),연향동139-1,,0.626
신대지구 단지내 ,겸용도로,신대지구내,신대지구내,,14.956
국가자전거도로구축(12),전용도로,인월동55-9㈜,대대동220-4(대),,2.93
국가인프라,전용차로,대대동95-4(답),대대동853-1(임),,0.8
국가인프라,전용도로,대대동853-1(임),교량동182-3(답),,0.9
국가인프라,우선도로,연향동812-23(답)별량면 쌍림리,해룡면 월전리9-1(잡)별량면 학산리,,4.07
국가자전거도로구축(13),전용도로,별량면 쌍림리243-22(답)별량면 우산리,별량면 학산리694(답)별량면 학산리,,3.62
국가자전거도로구축(진목),우선도로,별량면 우산리1111-2,별량면 학산리509-1,,0.52
국가자전거도로구축(14),"전용도로, 우선도로",별량면 학산리862,별량면 구룡리666-12,,13.071
국가자전거도로구축(15),전용도로,해룡면 신대리(구)평화역,해룡면 복성리광양경계,,1.986
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,장천동,장천동,,
,,83-9(대),88-1(대),,
,,,,,
,,장천동,매곡동,,
,,59-7(대),118-11(대),,
,,,,,
,,매곡동 ,매곡동,,
,,118-11(대),423-5(대),,
,,,,,
,,가곡동,가곡동,,
,,1002-14(대),378-1(도),,
