행정읍/면/동,법정읍/면/동,관리기관,설치일자,자전거노선명,자전거도로구분,위치구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류,도로노선명
둔포면,둔포면 둔포리,도시계획과,20120101,대1-02,자전거전용도로,중앙,투수콘,48.97,1.95,0,0,0,경계석,
둔포면,둔포면 둔포리,도시계획과,20120101,대1-02,자전거전용도로,중앙,투수콘,25.15,2.42,0,0,0,경계석,
둔포면,둔포면 둔포리,도시계획과,20120101,대1-02,자전거전용도로,좌,투수콘,51.31,1.83,0,0,0,경계석,
둔포면,둔포면 둔포리,도시계획과,20120101,대1-02,자전거전용도로,좌,투수콘,58.08,1.85,0,0,0,경계석,
둔포면,둔포면 둔포리,도시계획과,20120101,대1-02,자전거전용도로,좌,투수콘,41.81,1.89,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20120101,대1-02,자전거전용도로,우,투수콘,63.06,1.34,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20120101,대1-02,자전거전용도로,좌,투수콘,61.4,1.39,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20120101,대1-02,자전거전용도로,좌,투수콘,83.8,1.31,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20120101,대1-02,자전거전용도로,우,투수콘,79.85,1.37,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20120101,대1-02,자전거전용도로,우,투수콘,53.17,1.39,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20120101,대1-02,자전거전용도로,좌,투수콘,52.98,1.36,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20120101,대1-02,자전거전용도로,좌,투수콘,80.67,1.41,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20120101,대1-02,자전거전용도로,우,투수콘,82.49,1.38,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20120101,대1-02,자전거전용도로,중앙,투수콘,84.51,1.66,0,0,0,경계석,
둔포면,둔포면 석곡리,도시계획과,20090101,대1-02,자전거보행자겸용도로,좌,콘크리트,146.2,2.29,0,0,0,도색,
