행정읍/면/동,법정읍/면/동,관리기관,설치일자,자전거노선명,자전거도로구분,위치구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류,도로노선명
배방읍,배방읍,도시계획과,20141201,지방도로_628,자전거자동차겸용도로,좌,아스팔트,7.53,2.35,0,0,0,도색,
배방읍,배방읍,도시계획과,20141201,지방도로_628,자전거자동차겸용도로,중앙,아스팔트,46.43,2.32,0,0,0,도색,
배방읍,배방읍,도시계획과,20141201,지방도로_628,자전거자동차겸용도로,중앙,아스팔트,12.84,2.08,0,0,0,도색,
배방읍,배방읍,도시계획과,20141201,지방도로_628,자전거자동차겸용도로,중앙,아스팔트,13.03,2.06,0,0,0,도색,
배방읍,배방읍,도시계획과,20141201,지방도로_628,자전거자동차겸용도로,중앙,아스팔트,30.44,2.47,0,0,0,도색,
배방읍,배방읍,도시계획과,20141201,지방도로_628,자전거자동차겸용도로,중앙,아스팔트,12.91,2.22,0,0,0,도색,
배방읍,배방읍,도시계획과,20141201,지방도로_628,자전거자동차겸용도로,중앙,아스팔트,12.99,2.04,0,0,0,도색,
배방읍,배방읍,도시계획과,20141201,지방도로_628,자전거자동차겸용도로,중앙,아스팔트,28.25,2.45,0,0,0,도색,
배방읍,배방읍,도시계획과,20141201,지방도로_628,자전거자동차겸용도로,중앙,아스팔트,16.32,2.18,0,0,0,도색,
탕정면,탕정면 갈산리,도시계획과,20151231,지방도로_628,자전거전용도로,우,기타,7.37,1.95,0,0,0,도색,
탕정면,탕정면 갈산리,도시계획과,20151231,지방도로_628,자전거보행자겸용도로,우,투수콘,127.65,1.92,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20151231,지방도로_628,자전거전용도로,우,기타,5.12,1.97,0,0,0,도색,
탕정면,탕정면 갈산리,도시계획과,20151231,지방도로_628,자전거보행자겸용도로,우,투수콘,145.14,1.93,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20151231,지방도로_628,자전거전용도로,우,기타,8.28,2.03,0,0,0,도색,
배방읍,탕정면 갈산리,도시계획과,20151231,지방도로_628,자전거보행자겸용도로,우,투수콘,10.26,3.14,0,0,0,경계석,
배방읍,배방읍 구령리,도시계획과,20151231,지방도로_628,자전거보행자겸용도로,우,투수콘,29.08,3.15,0,0,0,경계석,
배방읍,배방읍 구령리,도시계획과,20151231,지방도로_628,자전거전용도로,우,기타,11,1.99,0,0,0,도색,
배방읍,배방읍 구령리,도시계획과,20151231,지방도로_628,자전거전용도로,중앙,기타,15.26,1.98,0,0,0,도색,
배방읍,배방읍 구령리,도시계획과,20151231,지방도로_628,자전거보행자겸용도로,우,투수콘,489.35,1.96,0,0,0,경계석,
배방읍,배방읍 구령리,도시계획과,20151231,지방도로_628,자전거전용도로,우,기타,16.56,2.33,0,0,0,도색,
배방읍,배방읍 구령리,도시계획과,20151231,지방도로_628,자전거보행자겸용도로,우,투수콘,70.04,1.79,0,0,0,경계석,
배방읍,배방읍 구령리,도시계획과,20151231,지방도로_628,자전거전용도로,우,기타,14.65,2.02,0,0,0,도색,
배방읍,배방읍 구령리,도시계획과,20151231,지방도로_628,자전거보행자겸용도로,우,투수콘,150.41,1.94,0,0,0,경계석,
배방읍,배방읍 구령리,도시계획과,20151231,지방도로_628,자전거전용도로,중앙,기타,13.1,2.04,0,0,0,도색,
배방읍,배방읍 구령리,도시계획과,20151231,지방도로_628,자전거전용도로,중앙,기타,22.63,2.11,0,0,0,도색,
배방읍,배방읍 구령리,도시계획과,20151231,지방도로_628,자전거전용도로,중앙,기타,36.22,2.12,0,0,0,도색,
배방읍,배방읍 구령리,도시계획과,20151231,지방도로_628,자전거보행자겸용도로,우,투수콘,151.79,2,0,0,0,경계석,
탕정면,탕정면 명암리,도로과,20140101,지방도로_628,자전거전용도로,우,아스팔트,16.92,2.02,0,0,0,도색,
탕정면,탕정면 명암리,도로과,20140101,지방도로_628,자전거전용도로,중앙,아스팔트,13.74,1.97,0,0,0,도색,
탕정면,탕정면 명암리,도로과,20140101,지방도로_628,자전거전용도로,좌,투수콘,38.48,2.26,0,0,0,도색,
탕정면,탕정면 명암리,도로과,20140101,지방도로_628,자전거전용도로,좌,투수콘,54.54,2.21,0,0,0,도색,
탕정면,탕정면 명암리,도로과,20140101,지방도로_628,자전거전용도로,우,투수콘,54.78,2.22,0,0,0,도색,
탕정면,탕정면 명암리,도로과,20140101,지방도로_628,자전거전용도로,우,투수콘,13.49,2.2,0,0,0,도색,
탕정면,탕정면 명암리,도로과,20140101,지방도로_628,자전거전용도로,좌,투수콘,14.77,2.26,0,0,0,도색,
탕정면,탕정면 명암리,도로과,20140101,지방도로_628,자전거전용도로,중앙,아스팔트,74.5,2.11,0,0,0,도색,
탕정면,탕정면 명암리,도로과,20140101,지방도로_628,자전거전용도로,우,투수콘,26.08,2.26,0,0,0,도색,
온양1동,온천동,도시계획과,20140101,지방도로_628,자전거전용도로,우,투수콘,7,1.6,0,0,0,경계석,
온양1동,온천동,도시계획과,20140101,지방도로_628,자전거전용도로,좌,투수콘,6.51,1.45,0,0,0,경계석,
온양1동,온천동,도시계획과,20140101,지방도로_628,자전거보행자겸용도로,우,투수콘,20.47,1.6,0,0,0,경계석,
온양1동,온천동,도시계획과,20121231,대로3-4,자전거전용도로,좌,투수콘,141.06,1.48,0,0,0,경계석,
온양1동,온천동,도시계획과,20121231,대로3-4,자전거전용도로,우,투수콘,140.82,1.34,0,0,0,경계석,
온양3동,모종동,도시계획과,20121231,대로3-4,자전거전용도로,우,투수콘,166.97,2.4,0,0,0,경계석,
온양3동,모종동,도시계획과,20121231,대로3-4,자전거전용도로,우,투수콘,6.84,1.15,0,0,0,경계석,
온양3동,모종동,도시계획과,20121231,대로3-4,자전거전용도로,좌,투수콘,62.02,2.6,0,0,0,경계석,
온양3동,모종동,도시계획과,20121231,대로3-4,자전거전용도로,좌,투수콘,179.22,2.6,0,0,0,경계석,
