공간지리식별번호,지형지물부호,관리번호,행정동읍면코드,도엽번호,관리기관코드,도로구간 번호,자전거 도로명,연장,폭원,국비재원,시군비 재원,기타재원,경계 정류,공사번호,대장초기화여부,설치일자,자전거도로 구분,위치구분,자전거도로 재질,위도,경도
358,AE543,2030,4143010800,377091111A,MNG001,2002,,60.72000122,1.39999998,0,0,0,DWY001,,1,2008-01-01,CGB002,DRT001,SMW008,200222.1458,532771.7147
359,AE543,4091,4143010600,377091121B,MNG001,200152,국지도57호선,70.98000336,2.08999991,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT002,SMW006,200386.3014,532184.9599
360,AE543,4078,4143010800,377091114B,MNG001,200146,국지도57호선,54.86000061,2.11999989,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT002,SMW006,201759.2829,532756.8773
361,AE543,4063,4143010800,377091116A,MNG001,200116,국지도57호선,55.75,1.15999997,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT001,SMW006,202390.6012,532797.0591
362,AE543,2098,4143056000,376121530B,MNG001,4,안양판교로자전거도로,16.5,1.39999998,0,0,0,DWY001,,1,2011-04-01,CGB001,DRT002,SMW008,199995.5773,532114.3183
363,AE543,4074,4143010800,377091115A,MNG001,200146,국지도57호선,14.35000038,2.03999996,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT001,SMW006,201852.4739,532802.9671
364,AE543,4064,4143010800,377091116A,MNG001,200135,국지도57호선,205.9100037,1.17999995,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT001,SMW006,202223.6643,532796.2218
365,AE543,4089,4143010600,377091121B,MNG001,200152,국지도57호선,38.00999832,1.95000005,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT001,SMW006,200409.6,532260.5533
366,AE543,4073,4143010800,377091115B,MNG001,200135,국지도57호선,132.7599945,1.14999998,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT001,SMW006,202042.3159,532804.1484
367,AE543,4066,4143010800,377091115B,MNG001,200135,국지도57호선,124.4199982,1.12,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT002,SMW006,202027.5101,532770.3355
368,AE543,4061,4143010800,377091116B,MNG001,200114,국지도57호선,176.3800049,1.14999998,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT001,SMW006,202513.8562,532796.6996
369,AE543,2004,4143010800,377091111C,MNG001,2009,,225.0599976,1.25999999,0,0,0,DWY001,,1,2008-01-01,CGB002,DRT001,SMW008,200147.0308,532482.4042
370,AE543,2097,4143056000,377091121A,MNG001,4,안양판교로자전거도로,34,2.4000001,0,0,0,DWY003,,1,2011-04-01,CGB001,DRT003,SMW008,200007.0989,532130.2162
371,AE543,2096,4143056000,377091121A,MNG001,4,안양판교로자전거도로,18.60000038,1.20000005,0,0,0,DWY003,,1,2011-04-01,CGB001,DRT001,SMW008,200003.7031,532148.9053
372,AE543,4062,4143010800,377091116B,MNG001,200156,국지도57호선,25.18000031,1.21000004,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT001,SMW006,202611.9009,532795.4147
373,AE543,4087,4143010600,377091112D,MNG001,200152,국지도57호선,111.5,2.06999993,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT002,SMW006,200697.3809,532441.9661
374,AE543,4090,4143010600,377091121B,MNG001,200152,국지도57호선,79.37000275,2.05999994,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT001,SMW006,200347.413,532189.3876
375,AE543,4076,4143010800,377091115A,MNG001,200146,국지도57호선,104.8499985,1.25,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT002,SMW006,201868.4131,532769.2934
439,AE543,4094,4143010800,377091121A,MNG001,200152,국지도57호선,206.8500061,2.05999994,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT001,SMW006,200120.2518,532123.14
440,AE543,4088,4143010600,377091112C,MNG001,200152,국지도57호선,270.0400085,2.02999997,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT002,SMW006,200528.3043,532330.8245
441,AE543,4097,4143010800,377091121A,MNG001,200152,국지도57호선,52.47000122,1.95000005,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT002,SMW006,200052.0492,532099.1065
442,AE543,2018,4143010800,377091111A,MNG001,2002,,202.8899994,1.30999994,0,0,0,DWY001,,1,2008-01-01,CGB002,DRT001,SMW008,200081.4982,532763.4739
443,AE543,4081,4143010800,377091114B,MNG001,200146,국지도57호선,45.25999832,2.00999999,0,0,0,DWY001,,1,2013-01-01,CGB002,DRT002,SMW006,201662.1834,532739.6602
444,AE543,2016,4143010800,377091111B,MNG001,2009,,111.3700028,1.39999998,0,0,0,DWY001,,1,2008-01-01,CGB002,DRT001,SMW008,200274.4598,532821.4279
445,AE543,4080,4143010800,377091114B,MNG001,200146,국지도57호선,33.36999893,2.13000011,0,0,0,DWY001,,1,2013-01-01,CGB003,DRT002,SMW006,201708.4243,532747.8272
446,AE543,18,4143010900,376121517A,MNG001,39,,115.199997,1,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,198430.9009,532688.67
457,AE543,2241,4143010700,376121517C,MNG001,100118,,94.63,2.04,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,198317.164,532352.3336
458,AE543,58,4143010700,376121536C,MNG001,234,,173.9199982,1.5,0,0,0,DWY001,,1,,CGB002,DRT001,SMW999,197824.5873,531342.6077
459,AE543,2238,4143010700,376121526B,MNG001,100052,,158.53,2.98,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT002,SMW008,198115.4469,532059.695
