노선명,시도명,시군구명,도로구간-기점,도로구간-종점,총길이(km),자전거도로너비(m),데이터기준일자
금강로,대구광역시,동구,대구광역시 동구 괴전동 652,대구광역시 동구 신서동 526-1,1.12,1.5,2025-11-27
동호로,대구광역시,동구,대구광역시 동구 신서동 538-2,대구광역시 동구 동호동 360,1.1,1.5,2025-11-27
강동중고길,대구광역시,동구,대구광역시 동구 신서동 537,대구광역시 동구 신서동 541,0.45,1.5,2025-11-27
경안로,대구광역시,동구,대구광역시 수성구 성동 565-4,대구광역시 동구 각산동 1058,1.84,3,2025-11-27
율암로,대구광역시,동구,대구광역시 동구 율암동 1150,대구광역시 동구 상매동 503,4,2,2025-11-27
과학로,대구광역시,동구,대구광역시 동구 각산동 1064,대구광역시 동구 각산동 1046,1.13,1.5,2025-11-27
첨단로,대구광역시,동구,대구광역시 동구 신서동 1187,대구광역시 동구 신서동 1142,2.6,2,2025-11-27
동내로,대구광역시,동구,대구광역시 동구 신서동 1168-5,대구광역시 동구 신서동 1146,1.8,2,2025-11-27
첨복로,대구광역시,동구,대구광역시 동구 신서동 1168-5,대구광역시 동구 동내동 1132,2.67,3,2025-11-27
동내로20길,대구광역시,동구,대구광역시 동구 동내동 1115-2,대구광역시 동구 동내동 1132,1.03,3,2025-11-27
초례로,대구광역시,동구,대구광역시 동구 숙천동 409,대구광역시 동구 사복동 850-1,0.83,1.5,2025-11-27
금호강변로,대구광역시,동구,대구광역시 동구 율하동 1401,대구광역시 동구 율하동 1621,3.2,1.5,2025-11-27
율하서로,대구광역시,동구,대구광역시 동구 율하동 1403,대구광역시 동구 율하동 1214,2.2,2,2025-11-27
안심로16길,대구광역시,동구,대구광역시 동구 율하동 1403,대구광역시 동구 율하동 336,1.57,2,2025-11-27
안심로22길,대구광역시,동구,대구광역시 동구 율하동 1231,대구광역시 동구 율하동 1467,2.24,1.5,2025-11-27
율하동로,대구광역시,동구,대구광역시 동구 율하동 1621,대구광역시 동구 율하동 1022,1.6,1.5,2025-11-27
율하동로8길,대구광역시,동구,대구광역시 동구 율하동 1621,대구광역시 동구 율하동 1623,1,1.5,2025-11-27
동촌역사로3길,대구광역시,동구,대구광역시 동구 검사동 756-378,대구광역시 동구 입석동 893-25,0.32,1.5,2025-11-27
동촌역사로4길,대구광역시,동구,대구광역시 동구 검사동 756-415,대구광역시 동구 검사동 756-427,0.48,1.5,2025-11-27
금호강변 자전거도로(금호강 우안에만 해당),대구광역시,동구,대구광역시 동구 용계동 824-2,대구광역시 동구 검사동 1041-4,4.41,2.1,2025-11-27
불노천자전거길,대구광역시,동구,대구광역시 동구 불로동 666,대구광역시 동구 도동 804-7,4.39,3,2025-11-27
동화천자전거길,대구광역시,동구,대구광역시 동구 지묘동 500,대구광역시 동구 지묘동 87,2.65,3,2025-11-27
율하천자전거길,대구광역시,동구,대구광역시 동구 상매동 503,대구광역시 동구 율암동 1106,3.9,3,2025-11-27
숙천천자전거길,대구광역시,동구,대구광역시 동구 숙천동 396,대구광역시 동구 숙천동 413,0.6,3,2025-11-27
달구벌대로,대구광역시,서구,대구광역시 서구 내당동 458-55,대구광역시 서구 내당동 1105-5,2.5,6,2025-11-27
평리로,대구광역시,서구,대구광역시 서구 중리동 산 191,대구광역시 서구 비산동 287-14,6.6,4,2025-11-27
국채보상로,대구광역시,서구,대구광역시 서구 중리동 1017,대구광역시 서구 비산동 158-30,8.83,5,2025-11-27
북비산로,대구광역시,서구,대구광역시 서구 이현동 42,대구광역시 서구 비산동 2593,7.7,4.5,2025-11-27
달서천로,대구광역시,서구,대구광역시 서구 상리동 649-2,대구광역시 서구 원대동1가 32-1,7.63,4.5,2025-11-27
옥산로,대구광역시,서구,대구광역시 서구 원대동3가 1628-2,대구광역시 서구 원대동2가 72-1,0.6,4,2025-11-27
팔달로,대구광역시,서구,대구광역시 서구 비산동 1736-2,대구광역시 서구 원대동3가 1649,2.35,4,2025-11-27
원대로,대구광역시,서구,대구광역시 서구 원대동1가 27-1,대구광역시 서구 원대동2가 69,0.5,5,2025-11-27
달서로,대구광역시,서구,대구광역시 서구 내당동 871-10,대구광역시 서구 원대동3가 1297-9,6,5,2025-11-27
서대구로,대구광역시,서구,대구광역시 서구 내당동 469-9,대구광역시 서구 비산동 1341,7.4,1.52,2025-11-27
와룡로,대구광역시,서구,대구광역시 서구 중리동 1162,대구광역시 서구 이현동 281-3,4.4,1.65,2025-11-27
염색공단천로,대구광역시,서구,대구광역시 서구 비산동 3137,대구광역시 서구 비산동 1715-3,2.2,3.5,2025-11-27
당산로,대구광역시,서구,대구광역시 서구 내당동 458-55,대구광역시 서구 평리동 574-6,5.2,3.86,2025-11-27
비산염색공단로,대구광역시,서구,대구광역시 서구 비산동 3169-4,대구광역시 서구 비산동 1443-3,2.8,3.6,2025-11-27
달서천변,대구광역시,서구,대구광역시 서구 비산동 1852,대구광역시 북구 금호동 561,2.2,3,2025-11-27
봉덕로,대구광역시,남구,대구광역시 남구 봉덕동 1300-5,대구광역시 남구 봉덕동 841-1,2.7,5,2025-11-27
현충로,대구광역시,남구,대구광역시 남구 대명동 516-8,대구광역시 남구 대명동 2130-10,5.6,4.3,2025-11-27
명덕로,대구광역시,남구,대구광역시 남구 대명동 2274-8,대구광역시 남구 이천동 121-380,3,3.7,2025-11-27
성당로,대구광역시,남구,대구광역시 남구 대명동 1226-11,대구광역시 남구 대명동 2274-8,3,4.4,2025-11-27
대덕로,대구광역시,남구,대구광역시 남구 봉덕동 624-11,대구광역시 남구 봉덕동 879-8,1.5,1.8,2025-11-27
희망로,대구광역시,남구,대구광역시 남구 봉덕동 493-7,대구광역시 남구 이천동 572-1,1.2,4,2025-11-27
대명로14길,대구광역시,남구,대구광역시 남구 대명동 3072,대구광역시 남구 대명동 1098-7,0.9,2.9,2025-11-27
중앙대로,대구광역시,남구,대구광역시 남구 대명동 75-4,대구광역시 남구 대명동 1790-7,3,4.7,2025-11-27
대명로,대구광역시,남구,대구광역시 남구 대명동 1226-11,대구광역시 남구 대명동 42-1,6.5,5.4,2025-11-27
월배로,대구광역시,남구,대구광역시 남구 대명동 1583-7,대구광역시 남구 대명동 1135-1,0.4,4.5,2025-11-27
양지로,대구광역시,남구,대구광역시 남구 대명동 3003-23,대구광역시 남구 대명동 2145-1,1.5,3.6,2025-11-27
이천로,대구광역시,남구,대구광역시 남구 봉덕동 1314-23,대구광역시 남구 이천동 437-7,3.1,3.7,2025-11-27
두류공원로,대구광역시,남구,대구광역시 남구 대명동 3046-30,대구광역시 남구 대명동 780-3,2.5,4,2025-11-27
대명남로,대구광역시,남구,대구광역시 남구 대명동 1490-5,대구광역시 남구 대명동 507-1,3.9,3.2,2025-11-27
안지랑로,대구광역시,남구,대구광역시 남구 대명동 936-3,대구광역시 남구 대명동 913-1,0.94,3.4,2025-11-27
용두방천1길,대구광역시,남구,대구광역시 남구 이천동 569-12,대구광역시 남구 이천동 121-374,0.8,4.1,2025-11-27
용두방천2길,대구광역시,남구,대구광역시 남구 봉덕동 1635,대구광역시 남구 이천동 569-13,0.31,1.4,2025-11-27
노원로,대구광역시,북구,대구광역시 북구 노원동3가 720-3,대구광역시 북구 침산동 793-1,4.82,4.3,2025-11-27
검단로,대구광역시,북구,대구광역시 북구 산격동 492-47,대구광역시 북구 검단동 777-60,3.7,1.6,2025-11-27
