행정읍면동,설치일자,자전거노선명,자전거도로구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,4,2.3,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,61.07,2.3,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,1.5,1.8,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,4.3,1.8,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,11.1,1.8,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,11.2,2.4,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,34.3,2.4,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,2.85,2.4,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,40.63,2.4,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,32.4,2.4,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,2.9,2.4,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,42.4,2.4,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,8.7,2.4,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,27.7,2.4,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,1.27,1.65,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,0.9,0.3,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,50.2,1.8,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,13.7,1.8,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,12.5,1.8,0,0,0,도색
동서동,1960-01-01,,자전거보행자겸용도로,고압블럭,1.1,2.5,0,0,0,경계석
동서동,2002-05-14,,자전거보행자겸용도로,고압블럭,99.99,2.5,0,0,0,경계석
동서동,2002-05-14,,자전거보행자겸용도로,고압블럭,0,2.5,0,0,0,경계석
동서동,2002-02-20,,자전거보행자겸용도로,고압블럭,0,2.5,0,0,0,경계석
동서동,2002-02-20,,자전거보행자겸용도로,고압블럭,99.99,2.5,0,0,0,경계석
선구동,1960-01-01,,자전거보행자겸용도로,고압블럭,91.52,1.4,0,0,0,경계석
선구동,1960-01-01,,자전거보행자겸용도로,고압블럭,21,1.4,0,0,0,경계석
선구동,2004-02-20,,자전거보행자겸용도로,고압블럭,1.67,1.4,0,0,0,경계석
선구동,2004-02-20,,자전거보행자겸용도로,고압블럭,99.99,1.4,0,0,0,경계석
선구동,2002-05-14,,자전거보행자겸용도로,고압블럭,99.99,1.4,0,0,0,경계석
선구동,2002-05-14,,자전거보행자겸용도로,고압블럭,99.99,1.4,0,0,0,경계석
벌용동,2004-09-17,,자전거보행자겸용도로,블록,5.6,2,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,73.9,2,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,31.5,1.7,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,73.3,2,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,70.1,1.67,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,99.99,2,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,13.2,1.7,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,42.1,2.1,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,17.4,1.75,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,11.5,2,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,92,1.7,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,24.6,2,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,67.3,1.8,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,19.4,2,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,15,2,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,94.8,1.45,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,39.51,2.1,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,25.42,1.5,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,85.77,1.4,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,46.51,2,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,40.9,2.1,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,78.3,1.45,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,53.4,2.1,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,0.76,1.35,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,37.82,2.15,0,0,0,도색
벌용동,2004-09-17,,자전거보행자겸용도로,블록,99.99,1.9,0,0,0,도색
