일련번호,노선명,기점,기점 경도,기점 위도,중기점,중기점 경도,중기점 위도,종점,종점 경도,종점 위도,도로연계성,자전거도로 종류,연장,전용도로 폭원,자전거도로 폭원(분리형),보도 폭원(분리형),유효폭원측정1(비분리형),도로폭원(비분리형),유효폭원측정2(비분리형),보행량 (점),데이터기준일자
215,만성Ⅰ-1L,여의동 855-21,,,양현초 앞,,,만성동 산 142-1,,,,겸용도로,1.5,0,0,0,0,3,3,,2026-05-14
216,만성Ⅰ-1R,,,,,,,,,,,겸용도로,1.5,0,1.5,2.5,4,0,0,,2026-05-14
217,만성Ⅱ-1L,여의동 840-8,,,양현초 앞,,,만성동 412,,,,겸용도로,1.17,0,1.5,13.5,15,0,0,,2026-05-14
218,만성Ⅱ-1R,,,,,,,,,,,겸용도로,1.17,0,1.5,13.5,15,0,0,,2026-05-14
219,만성Ⅱ-3L,만성동307-4,,,만성동 1292,,,만성동 1208,,,,겸용도로,0,0,0,0,0,0,0,,2026-05-14
220,만성Ⅱ-3R,,,,,,,,,,,겸용도로,0,0,0,0,0,0,0,,2026-05-14
221,만성Ⅱ-4L,만성동 산 104-1,,,만성동 276,,,만성동 260-6,,,,겸용도로,0.47,0,1.5,8.5,10,0,0,,2026-05-14
222,만성Ⅱ-4R,,,,,,,,,,,겸용도로,0.47,0,1.5,8.5,10,0,0,,2026-05-14
223,만성Ⅱ-5L,만성동 412,,,만성동 1292,,,만성동 194-36,,,,겸용도로,0.84,0,1.5,2,3.5,0,0,,2026-05-14
224,만성Ⅱ-5R,,,,,,,,,,,겸용도로,0.84,0,1.5,2,3.5,0,0,,2026-05-14
225,만성Ⅱ-6L,,,,,,,,,,,겸용도로,0.86,0,0,0,0,0,0,,2026-05-14
226,만성Ⅱ-6R,만성동 1053,,,만성동 1320,,,만성동 157-3,,,,겸용도로,0.86,0,0,0,0,0,0,,2026-05-14
227,에코시티Ⅰ-1L,전미동1가 593-3,,,송천동2가 산 226-6,,,송천동2가 67-3,,,,겸용도로,2.1,0,2,1,3,0,0,,2026-05-14
228,에코시티Ⅰ-1R,전미동1가 593-3,,,송천동2가 산 226-6,,,송천동2가 67-3,,,,겸용도로,2.1,0,2,1,3,0,0,,2026-05-14
229,에코시티Ⅱ-1L,송천동2가 117-25,,,송천동2가 135,,,송천동2가 117-9,,,,겸용도로,0.3,0,2.5,1,3.5,0,0,,2026-05-14
230,에코시티Ⅱ-1R,,,,,,,,,,,겸용도로,0.3,0,2.5,1,3.5,0,0,,2026-05-14
231,에코시티Ⅱ-2L,,,,,,,,,,,겸용도로,0.2,0,1.5,1.5,3,0,0,,2026-05-14
232,에코시티Ⅱ-2R,,,,,,,,,,,겸용도로,0.2,0,0,0,0,3,3,,2026-05-14
233,에코시티Ⅱ-3L,,,,,,,,,,,겸용도로,0.1,0,0,0,0,3,3,,2026-05-14
234,에코시티Ⅱ-3R,,,,,,,,,,,겸용도로,0.1,0,0,0,0,3,3,,2026-05-14
235,에코시티Ⅱ-4L,,,,,,,,,,,겸용도로,0.3,0,1.5,2,3.5,0,0,,2026-05-14
236,에코시티Ⅱ-4R,,,,,,,,,,,겸용도로,0.3,0,0,0,0,3,3,,2026-05-14
237,에코시티Ⅱ-5L,,,,,,,,,,,겸용도로,0.4,0,0,0,0,3,3,,2026-05-14
238,에코시티Ⅱ-5R,,,,,,,,,,,겸용도로,0.4,0,0,0,0,3,3,,2026-05-14
239,에코시티Ⅱ-6L,,,,,,,,,,,겸용도로,0.1,0,1.5,2,3.5,0,0,,2026-05-14
240,에코시티Ⅱ-6R,,,,,,,,,,,겸용도로,0.1,0,1.5,2,3.5,0,0,,2026-05-14
241,에코시티Ⅱ-7L,,,,,,,,,,,겸용도로,0.35,0,0,0,0,3,3,,2026-05-14
242,에코시티Ⅱ-7R,,,,,,,,,,,겸용도로,0.35,0,0,0,0,3,3,,2026-05-14
243,에코시티Ⅱ-8L,,,,,,,,,,,겸용도로,0.1,0,0,0,0,3,3,,2026-05-14
244,에코시티Ⅱ-8R,,,,,,,,,,,겸용도로,0.1,0,1.5,2,3.5,0,0,,2026-05-14
245,에코시티Ⅱ-9L,,,,,,,,,,,겸용도로,0.35,0,0,0,0,3,3,,2026-05-14
246,에코시티Ⅱ-9R,,,,,,,,,,,겸용도로,0.35,0,0,0,0,3,3,,2026-05-14
247,에코시티Ⅲ-1L,전미동1가 10-15,,,송천동2가 산 226-6,,,송천동2가 135,,,,겸용도로,0.4,0,0,0,0,3,3,,2026-05-14
248,에코시티Ⅲ-1R,,,,,,,,,,,겸용도로,0.4,0,0,0,0,3,3,,2026-05-14
249,에코시티Ⅳ-1L,송천동2가 117-9,,,송천동2가 117-9,,,호성동2가 758-6,,,,겸용도로,0.21,0,1.5,1.5,3,0,0,,2026-05-14
250,에코시티Ⅳ-1R,,,,,,,,,,,겸용도로,0.21,0,0,0,0,3,3,,2026-05-14
251,에코시티Ⅴ-1L,송천동2가 117-9,,,송천동2가 117-9,,,송천동2가 66-2,,,,겸용도로,0.23,0,0,0,0,3,3,,2026-05-14
252,에코시티Ⅴ-1R,,,,,,,,,,,겸용도로,0.23,0,0,0,0,3,3,,2026-05-14
253,에코시티Ⅵ-1L,송천동2가 117-9,,,송천동2가 117-9,,,송천동2가 159-58,,,,겸용도로,0.25,0,0,0,0,3,3,,2026-05-14
254,에코시티Ⅵ-1R,,,,,,,,,,,겸용도로,0.25,0,0,0,0,3,3,,2026-05-14
255,에코시티Ⅶ-1L,송천동2가 117-9,,,송천동2가 117-9,,,송천동2가 301-16,,,,겸용도로,0.35,0,0,0,0,3.25,3.25,,2026-05-14
256,에코시티Ⅶ-1R,,,,,,,,,,,겸용도로,0.35,0,0,0,0,3.25,3.25,,2026-05-14
257,에코시티Ⅶ-2L,,,,,,,,,,,겸용도로,0.35,0,2.5,2,4.5,0,0,,2026-05-14
258,에코시티Ⅶ-2R,,,,,,,,,,,겸용도로,0.35,0,2.5,2,4.5,0,0,,2026-05-14
259,에코시티Ⅷ-1L,송천동2가 117-31,,,송천동2가 364-12,,,송천동2가 363,,,,겸용도로,0.35,0,0,0,0,3,3,,2026-05-14
260,에코시티Ⅷ-1R,,,,,,,,,,,겸용도로,0.35,0,0,0,0,3,3,,2026-05-14
261,에코시티Ⅸ-1L,송천동2가 117-31,,,송천동2가 1293-63,,,송천동2가 117-24,,,,겸용도로,0.3,0,0,0,0,3,3,,2026-05-14
262,에코시티Ⅸ-1R,,,,,,,,,,,겸용도로,0.3,0,0,0,0,3,3,,2026-05-14
263,에코시티Ⅹ-1L,송천동2가 346-8,,,송천동2가 343,,,송천동2가 117-7,,,,겸용도로,0.47,0,0,0,0,3,3,,2026-05-14
264,에코시티Ⅹ-1R,,,,,,,,,,,겸용도로,0.47,0,0,0,0,3,3,,2026-05-14
265,에코시티-1L,,,,,,,,,,,겸용도로,0.25,0,0,0,0,3,3,,2026-05-14
266,에코시티-1R,,,,,,,,,,,겸용도로,0.25,0,0,0,0,3,3,,2026-05-14
267,에코시티-1L,,,,,,,,,,,겸용도로,1.5,0,2,2,4,0,0,,2026-05-14
268,에코시티-1R,,,,,,,,,,,겸용도로,1.5,0,2,2,4,0,0,,2026-05-14
269,에코시티VIII-1L,,,,,,,,,,,겸용도로,0.25,0,2,2,4,0,0,,2026-05-14
270,에코시티VIII-1R,,,,,,,,,,,겸용도로,0.25,0,2,2,4,0,0,,2026-05-14
271,에코시티XIV-1L,,,,,,,,,,,겸용도로,0.22,0,2,2,4,0,0,,2026-05-14
272,에코시티XIV-1R,,,,,,,,,,,겸용도로,0.22,0,2,2,4,0,0,,2026-05-14
