일련번호,노선명,기점,기점 경도,기점 위도,중기점,중기점 경도,중기점 위도,종점,종점 경도,종점 위도,도로연계성,자전거도로 종류,연장,전용도로 폭원,자전거도로 폭원(분리형),보도 폭원(분리형),유효폭원측정1(비분리형),도로폭원(비분리형),유효폭원측정2(비분리형),보행량 (점),데이터기준일자
115,용머리로1R,효자동1가410-5(우림교교차로),127.1106967,35.8046752,효자3동 439-11,127.1161638,35.8066794,효자광장교차로,127.1232625,35.8059,Y,겸용도로,1.16,0,1.6,1.9,3.5,0,0,3,2026-05-14
116,용머리로2L,효자광장교차로,127.1232625,35.8059,서완산동2가 359-10,127.1327908,35.8079332,서완산동1가508,127.1395311,35.8124543,Y,겸용도로,1.74,0,0,0,0,2,2,3,2026-05-14
117,용머리로2R,효자광장교차로,127.1232625,35.8059,서완산동2가 359-10,127.1327908,35.8079332,서완산동1가508,127.1395311,35.8124543,Y,겸용도로,1.74,0,0,0,0,2,2,3,2026-05-14
118,용호로L,효자동2가1157-6(우림초등학교),127.1076426,35.8142012,효자동3가 1714-10,127.096924,35.816327,효자동3가1670-1,127.096815,35.8208504,Y,겸용도로,1.6,0,0,0,0,1.2,1.2,3,2026-05-14
119,용호로R,효자동2가1157-6(우림초등학교),127.1076426,35.8142012,효자동3가 1714-10,127.096924,35.816327,효자동3가1670-1,127.096815,35.8208504,Y,겸용도로,1.6,0,0,0,0,1.2,1.2,3,2026-05-14
120,우전로L,효자동2가 1134-1,127.1015392,35.8026496,효자동2가 598-2,127.1018092,35.8117277,효자동3가1627-6,127.1022459,35.8248824,Y,겸용도로,2.55,0,0,0,0,3.3,3.3,3,2026-05-14
121,우전로R,효자동2가 1134-1,127.1015392,35.8026496,효자동2가 598-2,127.1018092,35.8117277,효자동3가1627-6,127.1022459,35.8248824,Y,겸용도로,2.55,0,0,0,0,3.2,3.2,3,2026-05-14
122,유연로1L,효자동3가1069,127.0864599,35.8217068,효자동3가 637-8,127.0984783,35.8259523,효자동3가 639-9,127.0981053,35.8248357,Y,겸용도로,1.15,0,0,0,0,2,2,2,2026-05-14
123,유연로1R,효자동3가1069,127.0864599,35.8217068,효자동3가 637-8,127.0984783,35.8259523,효자동3가 639-9,127.0981053,35.8248357,Y,겸용도로,1.15,0,0,0,0,2,2,2,2026-05-14
124,유연로2L,효자동3가 639-9,127.0981053,35.8248357,효자동2가 마전교,127.1123716,35.8254224,진북터널 사거리,127.1227375,35.825275,Y,겸용도로,2.2,0,2,2,4,0,0,3,2026-05-14
125,유연로2R,효자동3가 639-9,127.0981053,35.8248357,효자동2가 마전교,127.1123716,35.8254224,진북터널사거리,127.1227375,35.825275,Y,겸용도로,2.2,0,2,2,4,0,0,3,2026-05-14
126,유연로3L,진북터널사거리,127.1227375,35.825275,중화산2동 산26,127.1260539,35.8253486,진북동1091-15(진북교),127.1292461,35.8265803,Y,겸용도로,0.65,0,0,0,0,2.4,2.4,3,2026-05-14
127,유연로3R,진북터널사거리,127.1227375,35.825275,중화산2동 산26,127.1260539,35.8253486,진북동1091-15(진북교),127.1292461,35.8265803,Y,겸용도로,0.65,0,0,0,0,2.4,2.4,3,2026-05-14
128,장승배기로L,삼천동1가766-1(주공5단지),127.1135762,35.7931672,평화1동 393-5,127.1400948,35.798427,삼천동1가 705-5(꽃받정이네거리),127.1619058,35.8088114,Y,겸용도로,1.79,0,0,0,0,2.7,2.7,,2026-05-14
129,장승배기로R,삼천동1가766-1(주공5단지),127.1135762,35.7931672,평화1동 393-5,127.1400948,35.798427,삼천동1가 305-14(거마로사거리),127.1619058,35.8088114,Y,겸용도로,0.34,0,0,0,0,3.2,3.2,,2026-05-14
130,장승배기로2R,삼천동1가 305-14(거마로사거리),,,평화동2가 568-25,,,평화동2가 604-19(전주예심교회 앞),,,,겸용도로,0.86,0,1.4,2.1,3.5,0,0,,2026-05-14
131,장승배기로3R,평화동2가 604-19(전주예심교회 앞),,,평화동1가 393-13,,,서서학동 295(뚜레쥬르 앞),,,,겸용도로,2.34,0,0,0,0,2.2,2.2,,2026-05-14
132,장승배기로3L,삼천동1가 305-14(거마로사거리),,,평화동1가 583-15,,,서서학동 295(뚜레쥬르 앞),,,,겸용도로,1.75,0,0,0,0,2.8,2.8,,2026-05-14
133,장승배기로4L,서서학동 295(뚜레쥬르 앞),,,서서학동 169-2,,,동서학동 290-3(거산황궁아파트 앞),,,,겸용도로,0.53,0,1.4,2.1,3.5,0,0,,2026-05-14
134,장승배기로4R,서서학동 295(뚜레쥬르 앞),,,서서학동 169-2,,,동서학동 290-3(거산황궁아파트 앞),,,,겸용도로,0.53,0,1.8,1.8,3.6,0,0,,2026-05-14
135,장승배기로5L,동서학동 290-3(거산황궁아파트 앞),,,동서학동 913-17,,,동서학동923-27,,,,겸용도로,0.88,0,0,0,0,2,2,,2026-05-14
136,장승배기로5R,동서학동 290-3(거산황궁아파트 앞),,,동서학동 913-17,,,동서학동923-27,,,,겸용도로,0.88,0,0,0,0,2,2,,2026-05-14
137,전룡로L,서신동852,127.1134682,35.8256621,서신동 292-47,127.1209553,35.8279421,서신동3-10,127.1276964,35.829192,Y,겸용도로,1.4,0,0,0,0,1.8,1.8,2,2026-05-14
138,전룡로R,서신동852,127.1134682,35.8256621,서신동 292-47,127.1209553,35.8279421,서신동3-10,127.1276964,35.829192,Y,겸용도로,1.4,0,0,0,0,1.6,1.6,2,2026-05-14
139,전주천서로l,동서학동886-10,,,서서학동 210-2,,,서완산동1가505(완산교),,,Y,겸용도로,2,0,1.5,1.3,2.8,0,0,,2026-05-14
140,전주천서로R,동서학동886-10,127.1596344,35.8106628,서서학동 210-2,127.1497452,35.8101779,서완산동1가505(완산교),127.1395842,35.8124565,Y,겸용도로,2,0,1.5,1.3,2.8,0,0,4,2026-05-14
141,정언신로L,인후동1가157-32,127.1542744,35.8296493,정언신로 89,127.1636641,35.8313004,우아동2가926-1,127.17407,35.8319292,Y,겸용도로,1.9,0,0,0,0,2,2,3,2026-05-14
142,정언신로R,인후동1가157-32,127.1542744,35.8296493,정언신로 89,127.1636641,35.8313004,우아동2가926-1,127.17407,35.8319292,Y,겸용도로,1.9,0,0,0,0,2,2,3,2026-05-14
143,정여립로L,삼천동3가289-4,127.0841072,35.7961853,삼천동3가 산33-3,127.0781048,35.8033321,상림동 105-7,127.0712686,35.8071956,Y,전용도로,3.7,0,1.5,2,3.5,0,0,2,2026-05-14
144,정여립로R,삼천동3가289-4,,,삼천동3가 산33-3,,,상림동 105-7,,,,전용도로,3.7,0,1.5,1.5,3,0,0,,2026-05-14
145,정여립로2L,,,,,,,,,,,겸용도로,1.35,0,1.5,1.5,3,0,0,,2026-05-14
146,정여립로2R,,,,,,,,,,,겸용도로,1.35,0,1.5,2.5,4,0,0,,2026-05-14
147,정여립로3L,,,,,,,,,,,겸용도로,1.65,0,1.5,2.5,4,0,0,,2026-05-14
148,정여립로3R,,,,,,,,,,,겸용도로,1.65,0,1.5,2.5,4,0,0,,2026-05-14
149,조경단로1L,금암동522-109,127.1360712,35.8349636,덕진동1가 664-57,127.1338564,35.8509442,송천동1가778-28,127.1203601,35.8514525,Y,겸용도로,3.3,0,0,0,0,1.5,1.5,3,2026-05-14
150,조경단로1R,금암동522-109,127.1360712,35.8349636,금암2동 1616,127.1391746,35.8422867,금암동 634-18(대학로지하차도),127.1401205,35.8460732,Y,겸용도로,1.6,0,0,0,0,1.8,1.8,3,2026-05-14
151,조경단로2R,금암동 634-18(대학로지하차도),127.1401205,35.8460732,덕진동1가 655-9,127.131037,35.8518467,송천동1가778-28,127.1203601,35.8514525,Y,겸용도로,1.7,0,1.2,1.8,3,0,0,3,2026-05-14
152,중동로L,장동 1096(LH이노팰리스 104동 앞 삼거리),,,중동 141-2,,,중동824(근린공원내부 회전교차로),,,,겸용도로,1.75,0,2,2.5,4.5,0,0,,2026-05-14
153,중동로R,장동 1096(LH이노팰리스 104동 앞 삼거리),,,중동 141-2,,,중동824(근린공원내부 회전교차로),,,,겸용도로,1.75,0,2,2.5,4.5,0,0,,2026-05-14
