id,name,sigungu,reservation_org,reservation_url,reservation_open,use_season,reservation_note
camp-31254,방화동 가족휴가촌 오토캠핑장,장수군,장수군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030082,,,
camp-30970,방화동자연휴양림 야영장,장수군,장수군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030082,,,
camp-31046,와룡자연휴양림 야영장,장수군,장수군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030084,,,
camp-31543,장수누리파크 오토캠핑장,장수군,장수군청,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=2659&viewType=read01,,,
camp-31344,정읍시 내장산 국민여가캠핑장,정읍시,정읍시청,http://www.jeongeup.go.kr/reserve/board/list.jeongeup?boardId=BBS_0000226&menuCd=DOM_000001207001006000&contentsSid=3645&cpath=%2Freserve,,,
camp-gc-030,운일암반일암 국민여가캠핑장,진안군,,,,,
camp-30987,붉은오름자연휴양림 야영장,서귀포시,서귀포시청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030014,,,
camp-31000,서귀포자연휴양림 야영장,서귀포시,서귀포시산림휴양관리소,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030013,,,
camp-30835,교래자연휴양림 야영장,제주시,제주시청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030056,,,
camp-31184,괴강국민여가캠핑장,괴산군,괴산군청,https://jwyccamp.kr/,,,
camp-31010,성불산자연휴양림 야영장,괴산군,괴산군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030070,,,
camp-31397,화양동 야영장,괴산군,괴산군청,http://hwayangcamp.com/,,,
camp-31210,다리안관광지,단양군,단양관광관리공단,http://www.danyangcamping.com/pension_resv/resv_form1.htm,,,
camp-31440,단양팔경투어,단양군,단양군청,http://www.danyangtour.net/tourlistv.php?stcodetw=01-05,,,
camp-31229,대강오토캠핑장,단양군,단양관광관리공단,https://camp.dtmc.or.kr:452/,,,
camp-31283,소선암 오토캠핑장,단양군,단양관광관리공단,https://www.eco-i.or.kr/sportsPark/main/main.asp,,,
camp-31359,천동오토캠핑장,단양군,단양관광관리공단,https://camp.dtmc.or.kr:452/facility.asp?location=003,,,
camp-gc-034,보은국민여가캠핑장,보은군,,,,,
camp-31289,송호리 국민관광지 야영장,영동군,영동군청,https://yd21.go.kr/portal/html/sub01/0101.html,,,
camp-31063,장령산자연휴양림 야영장,옥천군,옥천군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030036,,,
camp-30973,백야자연휴양림 야영장,음성군,음성군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030016,,,
camp-31290,수레의산 국민여가 캠핑장,음성군,음성군청,http://www.eumseong.go.kr/forest/contents.do?key=1828,,,
camp-31024,수레의산자연휴양림 야영장,음성군,음성군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030017,,,
camp-30968,박달재자연휴양림 야영장,제천시,제천시청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030062,,,
camp-31347,제천 하늘뜨레 서울캠핑장,제천시,제천시청,https://blog.naver.com/seoul_camp/221499393337,,,
camp-31349,좌구산오토캠핑장,증평군,증평군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030089,,,
camp-31071,좌구산휴양랜드 야영장,증평군,증평군휴양공원사업소,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030089,,,
camp-gc-035,문암생태공원,청주시,,,,,
camp-31044,옥화자연휴양림 오토캠핑장,청주시,청주시시설관리공단,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030054,,,
camp-31391,현도오토캠핑장,청주시,청주시시설관리공단,https://crs.cjsisul.or.kr/pGuide/int01001_list.do?actionType=fac_guide&menu_id=A01,,,
camp-30962,문성자연휴양림 야영장,충주시,충주시설관리공단,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030055,,,
camp-30982,봉황자연휴양림 야영장,충주시,충주시설관리공단,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030051,,,
camp-31563,행복숲 체험원,충주시,충주시시설관리공단,https://www.cjfmc.or.kr/hbf/index.do,,,
